qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,3120660,189549,3310209
fc_a_001,AD,39328,1430,40758
fc_a_002,ABD,34430,1684,36114
fc_a_003,A,9041,732,9773
fc_a_004,A,58011,1578,59589
fc_a_005,ABD,28066,1937,30003
fc_a_006,B,512186,932,513118
fc_a_007,D,37179,3050,40229
fc_a_008,D,53131,2016,55147
fc_a_009,AD,30680,1510,32190
fc_a_010,B,101281,655,101936
fc_a_011,AB,32028,1478,33506
fc_a_012,AC,62264,1679,63943
fc_a_013,B,21238,2034,23272
fc_a_014,B,84007,1655,85662
fc_a_015,A,64217,2589,66806
fc_a_016,AC,34897,1761,36658
fc_a_017,B,32279,1843,34122
fc_a_018,A,12240,1614,13854
fc_a_019,B,99849,1482,101331
fc_a_020,AB,18688,1220,19908
fin_a_001,AB,59043,2472,61515
fin_a_002,A,44618,3254,47872
fin_a_003,A,9983,1716,11699
fin_a_004,B,22979,1849,24828
fin_a_005,ABD,48298,4075,52373
fin_a_006,A,23580,1287,24867
fin_a_007,ABD,56413,2929,59342
fin_a_008,B,58720,6624,65344
fin_a_009,ABC,27779,1877,29656
fin_a_010,B,45282,2156,47438
fin_a_011,CD,31068,2516,33584
fin_a_012,ABD,61836,1886,63722
fin_a_013,A,21478,2317,23795
fin_a_014,A,81000,2272,83272
fin_a_015,A,19534,3584,23118
fin_a_016,AD,18881,2890,21771
fin_a_017,AC,61085,1226,62311
fin_a_018,B,13307,2416,15723
fin_a_019,AB,57463,1590,59053
fin_a_020,B,46728,3737,50465
ins_a_001,B,14824,1900,16724
ins_a_002,A,14103,1390,15493
ins_a_003,B,21370,2479,23849
ins_a_004,A,36395,1330,37725
ins_a_005,ABCD,12320,1207,13527
ins_a_006,A,20735,3352,24087
ins_a_007,BC,8595,1503,10098
ins_a_008,ABC,16814,1664,18478
ins_a_009,C,8597,1371,9968
ins_a_010,AB,16845,2478,19323
ins_a_011,BC,26710,1719,28429
ins_a_012,A,20386,1212,21598
ins_a_013,A,6493,1367,7860
ins_a_014,ABD,19599,1554,21153
ins_a_015,AB,14723,2120,16843
ins_a_016,CD,31947,1542,33489
ins_a_017,ABCD,7648,2089,9737
ins_a_018,BCD,22191,1838,24029
ins_a_019,ABCD,10936,1133,12069
ins_a_020,D,30110,1875,31985
reg_a_001,ACD,8670,1922,10592
reg_a_002,ABC,9301,1918,11219
reg_a_003,A,9220,940,10160
reg_a_004,ABC,12550,3433,15983
reg_a_005,BC,10801,2293,13094
reg_a_006,B,5229,1908,7137
reg_a_007,ACD,11982,2037,14019
reg_a_008,A,13080,1575,14655
reg_a_009,ABD,11273,1939,13212
reg_a_010,B,10790,1433,12223
reg_a_011,AC,12986,2662,15648
reg_a_012,ABD,11586,3241,14827
reg_a_013,A,6499,870,7369
reg_a_014,ABD,11752,1211,12963
reg_a_015,C,7548,1059,8607
reg_a_016,ABD,12308,2704,15012
reg_a_017,AB,12143,1986,14129
reg_a_018,A,12483,802,13285
reg_a_019,ABD,18453,1328,19781
reg_a_020,ABD,16454,1063,17517
res_a_001,ABC,13653,3553,17206
res_a_002,AC,16937,2871,19808
res_a_003,A,12196,1111,13307
res_a_004,A,19354,2154,21508
res_a_005,ABC,21589,1664,23253
res_a_006,B,10054,2257,12311
res_a_007,ABC,10810,1415,12225
res_a_008,A,13613,1363,14976
res_a_009,ABC,12569,1277,13846
res_a_010,A,5777,478,6255
res_a_011,BC,13299,1680,14979
res_a_012,ABC,14072,1224,15296
res_a_013,B,12918,844,13762
res_a_014,ABC,23451,1123,24574
res_a_015,A,32013,1034,33047
res_a_016,CD,21122,2234,23356
res_a_017,A,17325,2304,19629
res_a_018,A,25380,769,26149
res_a_019,AB,37189,1459,38648
res_a_020,AB,26775,1736,28511
